NO.,분류,계정,리전,서비스명,이름,환경,핵심/중요/일반,운영 체제,크기,개인 IP 주소,공용 IP 주소,디스크,WEB/WAS/DB/ETC
109,AWS,kdnias,ap-northeast-2,dbec,dbec-prod-ec2-instance-security-2a,운영,핵심,Linux,t3.medium,172.26.9.5,,100,APP
110,AWS,navienhouse,ap-northeast-2,navienhouse,navien-server-1,운영,핵심,Windows Server,m5.2xlarge,10.37.10.141,,100,WEB/WAS
111,AWS,navienhouse,ap-northeast-2,navienhouse,navien-db,운영,핵심,Windows Server,m5.2xlarge,10.37.10.9,,550,DB
112,AWS,navienhouse,ap-northeast-2,navienhouse,navien-server-2,운영,핵심,Windows Server,r5.xlarge,10.37.11.152,,100,WEB/WAS
113,AWS,navienhouse,ap-northeast-2,navienhouse,navien-server-3,운영,핵심,Windows Server,m5.2xlarge,10.37.11.74,,100,WEB/WAS
114,AWS,navienhouse,ap-northeast-2,navienhouse,navien-server-4,운영,핵심,Windows Server,m5.2xlarge,10.37.11.118,,100,WEB/WAS
115,AWS,navienhouse,ap-northeast-2,navienhouse,navien-server-5,운영,핵심,Windows Server,r5.xlarge,10.37.11.115,,100,WEB/WAS
116,AWS,navienhouse,ap-northeast-2,navienhouse,navien-server-6,운영,핵심,Windows Server,r5.xlarge,10.37.11.98,,100,WEB/WAS
117,AWS,navienhouse,ap-northeast-2,navienhouse,navien-server-7,운영,핵심,Windows Server,r5.xlarge,10.37.11.102,,100,WEB/WAS
118,AWS,navienhouse,ap-northeast-2,navienhouse,navien-ai-triton,운영,핵심,Linux,g4dn.xlarge,10.37.10.215,,100,APP
119,AWS,navienhousedev,ap-northeast-2,navienhouse,navien-dev-server,개발,일반,Windows Server,c5.large,10.36.0.22,,100,WEB/WAS
120,AWS,itcallprod,ap-northeast-2,ipcc,ipcc-prod-ec2-messenger,운영,핵심,Linux,m5.xlarge,172.25.16.170,,1000,APP
121,AWS,itcallprod,ap-northeast-2,kcpm,kcpm-prod-ec2-instance-was,운영,핵심,Linux,m5.xlarge,172.25.16.120,,500,WEB/WAS
122,AWS,itcallprod,ap-northeast-2,ipcc,ipcc-prod-ec2-webwas-a,운영,핵심,Linux,c5.2xlarge,172.25.16.204,,500,WEB/WAS
123,AWS,itcallprod,ap-northeast-2,ipcc,ipcc-prod-ec2-daemon,운영,핵심,Linux,m5.large,172.25.16.44,,300,APP
124,AWS,itcallprod,ap-northeast-2,kcpm,kcpm-prod-ec2-instance-db,운영,핵심,Linux,m5.large,172.25.16.69,,200,DB
125,AWS,itcallprod,ap-northeast-2,msghub,msghub-prod-ec2-instance,운영,핵심,Linux,m5.xlarge,172.25.16.90,54.180.214.176,50,WEB/WAS
126,AWS,itcallprod,ap-northeast-2,ipcc,ipcc-prod-VARS,운영,핵심,Linux,m5.xlarge,172.25.0.136,43.203.100.232,500,APP
127,AWS,itcallprod,ap-northeast-2,ipcc,ipcc-prod-ec2-webwas-c,운영,핵심,Linux,c5.2xlarge,172.25.17.171,,500,WEB/WAS
128,AWS,itcalldev,ap-northeast-2,ipcc,ipcc-dev-messenger,개발,일반,Linux,m5.large,172.24.16.84,,250,APP
129,AWS,itcalldev,ap-northeast-2,ipcc,ipcc-dev-webwas-a,개발,일반,Linux,c5.xlarge,172.24.16.46,,200,WEB/WAS
130,AWS,itcalldev,ap-northeast-2,msghub,msghub-dev-ec2-instance,개발,일반,Linux,m5.large,172.24.110.19,15.165.124.244,50,APP
131,AWS,itcalldev,ap-northeast-2,ipcc,ipcc-dev-VARS,개발,일반,Linux,m5.large,172.24.0.146,13.124.25.36,200,APP
132,AWS,itcalldev,ap-northeast-2,ipcc,ipcc-dev-webwas-c,개발,일반,Linux,c5.xlarge,172.24.17.206,,200,WEB/WAS
133,AWS,itcalldev,ap-northeast-2,kcpm,kcpm-dev-ec2-instance-db,개발,일반,Linux,m5.large,172.24.16.56,,50,DB
134,AWS,itcalldev,ap-northeast-2,kcpm,kcpm-dev-ec2-instance-was,개발,일반,Linux,m5.large,172.24.16.226,,125,WEB/WAS
135,AWS,itcalldev,ap-northeast-2,ipcc,ipcc-dev-daemon,개발,일반,Linux,m5.large,172.24.17.246,,75,APP
